"actseq"	"passeq"	"type"	"product"	"pp_ActiveMod"	"pp_PassiveMod"	"pp_NoProduct"	"pp_NewProduct"	"pp_Replicator"	"pp_SelfReplicator"	"pp_AutoReplicator"	"pp_Complex"	"pp_Jumper"	"bprob"	"nsteps"	"actlen"	"paslen"	"ccopy"	"cmove"	"cover"	"ctogg"	"oneway"	"nprod"	"dexec"	"dbind"	"nobs"	"np_MutualRepl"	"np_Parasite"	"np_Hypercycle"
"1209"	"$=?>$=?$}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.581734	1001	2000	27	334	333	334	0	FALSE	0	TRUE	FALSE	1	FALSE	FALSE	FALSE
"1214"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>CEAUB^B"	"unknown"	"$=?>CEAUB^B"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.69541	128	27	11	38	36	27	1	FALSE	1	TRUE	FALSE	3	FALSE	TRUE	FALSE
"1223"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$DBVB^AD==?QAVB^$$=?>$ZVBO%OHOB"	"unknown"	"$=?>$DBVB^AD==?QAVB^$$=?>$ZVBO%OHOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	200	27	35	62	60	27	1	FALSE	1	TRUE	FALSE	1	FALSE	TRUE	FALSE
"1304"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$DBVB^AD==?QAVB^B$=?>$ZVBO%OHOB"	"unknown"	"$=?>$DBVB^AD==?QAVB^B$=?>$ZVBO%OHOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	200	27	35	62	60	27	1	FALSE	1	TRUE	FALSE	4	FALSE	TRUE	FALSE
"1350"	"$=?>$DBVB^A$$$$=?$$DBB$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	176	49	27	54	52	27	1	TRUE	1	TRUE	TRUE	1	TRUE	FALSE	TRUE
"1356"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$DBB^A=?>$EAUB^B$=?Q$ZVBO%HOB"	"unknown"	"$=?>$DBB^A=?>$EAUB^B$=?Q$ZVBO%HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	194	27	33	60	58	27	1	FALSE	1	TRUE	FALSE	1	FALSE	TRUE	FALSE
"1405"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$$$=?$DDBB=?>$ABO%}HOB"	"unknown"	"$=?>$$$=?$DDBB=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	173	27	26	53	51	27	1	FALSE	1	TRUE	FALSE	1	FALSE	TRUE	FALSE
"1451"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$$$=?$$DB$=?>$ABO%}HOB"	"unknown"	"$=?>$$$=?$$DB$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	173	27	26	53	51	27	1	FALSE	1	TRUE	FALSE	1	FALSE	TRUE	FALSE
"1459"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EYUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EYUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	176	27	27	54	52	27	1	FALSE	1	TRUE	FALSE	6	TRUE	FALSE	TRUE
"1614"	"$=?>$=?$EZUB^B"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.581734	51	14	27	14	13	14	1	FALSE	0	TRUE	FALSE	1	FALSE	TRUE	FALSE
